best_auc,best_auc_threshold,best_f1_score,best_f1_score_threshold,_total,_tot_anomaly,_tot_normal,_tpr_recall,_precision,_accuracy,_f1_score,_fnr,_tnr,_fpr,_t_pos,_f_pos,_f_neg,_t_neg,_auc,total,tot_anomaly,tot_normal,tpr_recall,precision,accuracy,f1_score,fnr,tnr,fpr,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
0.9648000000000001,1.3845046754503414,0.96364387523239,1.3845046754503414,10000,5000,5000,0.933,0.996369073045707,0.9648,0.96364387523239,0.067,0.9966,0.0034,4665,17,335,4983,0.9648000000000001,10000,5000,5000,0.933,0.996369073045707,0.9648,0.96364387523239,0.067,0.9966,0.0034,4665,17,335,4983,0.9648000000000001,42.404377652999756
0.9472,1.3957191272847822,0.9468919734459867,1.3957191272847822,10000,5000,5000,0.9414,0.9524484014569,0.9472,0.9468919734459867,0.0586,0.953,0.047,4707,235,293,4765,0.9472,10000,5000,5000,0.9414,0.9524484014569,0.9472,0.9468919734459867,0.0586,0.953,0.047,4707,235,293,4765,0.9472,45.46606738800074
0.9430000000000001,1.4087047647798647,0.944040840369134,1.4087047647798647,10000,5000,5000,0.9616,0.9271114539143849,0.943,0.944040840369134,0.0384,0.9244,0.0756,4808,378,192,4622,0.9430000000000001,10000,5000,5000,0.9616,0.9271114539143849,0.943,0.944040840369134,0.0384,0.9244,0.0756,4808,378,192,4622,0.9430000000000001,59.30926305399953
0.964,1.392124462551429,0.9631071940971511,1.392124462551429,10000,5000,5000,0.9398,0.987599831862127,0.964,0.9631071940971511,0.0602,0.9882,0.0118,4699,59,301,4941,0.964,10000,5000,5000,0.9398,0.987599831862127,0.964,0.9631071940971511,0.0602,0.9882,0.0118,4699,59,301,4941,0.964,3.332881983998959
0.9533,1.3840576204025474,0.9511455173135265,1.3840576204025474,10000,5000,5000,0.9092,0.997148497477517,0.9533,0.9511455173135265,0.0908,0.9974,0.0026,4546,13,454,4987,0.9533,10000,5000,5000,0.9092,0.997148497477517,0.9533,0.9511455173135265,0.0908,0.9974,0.0026,4546,13,454,4987,0.9533,43.6953729479992
0.9616,1.3939422292295063,0.9615461646304827,1.3939422292295063,10000,5000,5000,0.9602,0.9628961091054954,0.9616,0.9615461646304827,0.0398,0.963,0.037,4801,185,199,4815,0.9616,10000,5000,5000,0.9602,0.9628961091054954,0.9616,0.9615461646304827,0.0398,0.963,0.037,4801,185,199,4815,0.9616,48.4897359280003
0.9673,1.387234269093196,0.9668726572788978,1.387234269093196,10000,5000,5000,0.9544,0.97967563128721,0.9673,0.9668726572788978,0.0456,0.9802,0.0198,4772,99,228,4901,0.9673,10000,5000,5000,0.9544,0.97967563128721,0.9673,0.9668726572788978,0.0456,0.9802,0.0198,4772,99,228,4901,0.9673,48.67749074099993
0.9583,1.3930187148787092,0.9582874862458738,1.3930187148787092,10000,5000,5000,0.958,0.9585751450870522,0.9583,0.9582874862458738,0.042,0.9586,0.0414,4790,207,210,4793,0.9583,10000,5000,5000,0.958,0.9585751450870522,0.9583,0.9582874862458738,0.042,0.9586,0.0414,4790,207,210,4793,0.9583,57.776343055000325
0.9523,1.401691077106597,0.9528049866429207,1.401691077106597,10000,5000,5000,0.963,0.9428235754846289,0.9523,0.9528049866429207,0.037,0.9416,0.0584,4815,292,185,4708,0.9523,10000,5000,5000,0.963,0.9428235754846289,0.9523,0.9528049866429207,0.037,0.9416,0.0584,4815,292,185,4708,0.9523,48.25203474299997
0.9563,1.3792003170991334,0.9543507782304397,1.3792003170991334,10000,5000,5000,0.9136,0.998906625847365,0.9563,0.9543507782304397,0.0864,0.999,0.001,4568,5,432,4995,0.9563,10000,5000,5000,0.9136,0.998906625847365,0.9563,0.9543507782304397,0.0864,0.999,0.001,4568,5,432,4995,0.9563,3.4637673939996603
