total,threshold,tpr_recall,precision,accuracy,f1_score,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
90000,9.699999999999982,0.9951807228915662,0.6046852122986823,0.9969777777777777,0.7522768670309654,413,270,2,89315,0.9960834127378522,729.2636186049931
90000,10.599999999999978,0.9903614457831326,0.5684647302904564,0.9964888888888889,0.7223198594024606,411,312,4,89273,0.9934393599401794,731.4957187089894
90000,10.29999999999998,0.989010989010989,0.6181318681318682,0.9968555555555556,0.760777683854607,450,278,5,89267,0.9929532023618795,734.1854920820042
90000,9.499999999999982,0.990990990990991,0.5781865965834428,0.9963888888888889,0.7302904564315352,440,321,4,89235,0.9937033207668342,736.308330550004
90000,8.999999999999984,0.9949874686716792,0.5475862068965517,0.9963333333333333,0.7064056939501778,397,328,2,89273,0.9956633976208477,738.8340729240008
90000,9.799999999999981,0.9832935560859188,0.5971014492753624,0.9968333333333333,0.7430117222723174,412,278,7,89303,0.9900951097204357,742.7138643650105
90000,10.599999999999978,0.9767441860465116,0.5991440798858774,0.9967666666666667,0.7427055702917772,420,281,10,89289,0.9868034874633584,744.0720095239958
90000,9.299999999999983,0.988479262672811,0.6128571428571429,0.9969333333333333,0.7566137566137566,429,271,5,89295,0.9927267804778207,746.6348247090064
90000,9.99999999999998,0.9928400954653938,0.5753803596127247,0.9965555555555555,0.7285464098073555,416,307,3,89274,0.9947065147290466,749.3373766760051
90000,9.99999999999998,0.9813519813519813,0.6014285714285714,0.9968111111111111,0.7457927369353411,421,279,8,89292,0.9891185669562599,752.1409211860009
90000,9.499999999999982,0.9912087912087912,0.5926412614980289,0.9965111111111111,0.7417763157894736,451,310,4,89235,0.9938734223507243,754.704498496998
90000,9.399999999999983,0.9808510638297873,0.5835443037974684,0.9962444444444445,0.7317460317460318,461,329,9,89201,0.9885881589672783,756.1140022609907
